dataset,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,alpha1_plus_2beta1,alpha1_minus_beta1,r_alpha2,second_neighbor_family,C_pc5,hyperplane_residual_raw,PC1,PC2,PC3,PC4,PC5
dataframe000015,100.0,2.0,8.955574,-0.7191915,0.42329088,-1.6010082,0.00025456183,0.12739027,-1.1424824,0.99984103,$\alpha_2$-dominated,-9.898371521269267e-05,-9.898371521244124e-05,2.6218333575001567,0.08559452307004181,1.6732845720694038,-1.1905673236091308,-9.898371521269267e-05
dataframe000015,100.0,2.0,8.955574,-0.7191915,0.50022095,-1.6010082,0.00025456183,0.28125042,-1.2194124,0.99984103,$\alpha_2$-dominated,-0.00010761815250418083,-0.0001076181525039294,2.748897908889972,0.26442752031524835,1.6406116203730357,-1.197939466311916,-0.00010761815250418083
dataframe000015,100.0,2.0,8.955574,-0.7191915,0.9953822,-1.6010082,0.00025456183,1.2715728,-1.7145736,0.99984103,$\alpha_2$-dominated,-0.00016337196236207552,-0.00016337196236171304,3.566750320252821,1.4154880702223345,1.4303119110578286,-1.2453902406136788,-0.00016337196236207552
dataframe000015,60.0,3.0,7.770025,-0.6429014,0.018858504,0.0003481749,-0.6566996,-0.60518444,-0.6617599,0.00052990805,$\beta_2$-dominated,2.958965618596844e-05,2.9589656186226643e-05,-0.10029261878161673,0.3658303599390879,0.4057676859891856,0.5428537587681118,2.958965618596844e-05
dataframe000015,60.0,3.0,7.770025,-0.6429014,-0.34855402,0.0003481749,-0.6566996,-1.3400095,-0.2943474,0.00052990805,$\beta_2$-dominated,7.098362617217159e-05,7.098362617226326e-05,-0.7071439070188147,-0.4882633162520249,0.5618112891448593,0.5780624974068784,7.098362617217159e-05
dataframe000015,60.0,3.0,7.770025,-0.6429014,0.58484155,0.0003481749,-0.6566996,0.5267817,-1.2277429,0.00052990805,$\beta_2$-dominated,-3.411041717507089e-05,-3.4110417174979224e-05,0.8345354554191364,1.6815246195904596,0.16538924625058365,0.48861618622449704,-3.411041717507089e-05
dataframe000015,60.0,3.0,7.770025,-0.6429014,0.11384935,0.0003481749,-0.6566996,-0.41520274,-0.75675076,0.00052990805,$\beta_2$-dominated,1.8887656955351675e-05,1.888765695552661e-05,0.05660274597786367,0.5866477850021995,0.3654241644213059,0.5337508895833118,1.8887656955351675e-05
dataframe000015,60.0,3.0,7.770025,-0.6429014,0.11384935,0.0003481749,-0.6566996,-0.41520274,-0.75675076,0.00052990805,$\beta_2$-dominated,1.8887656955351675e-05,1.888765695552661e-05,0.05660274597786367,0.5866477850021995,0.3654241644213059,0.5337508895833118,1.8887656955351675e-05
dataframe000014,90.0,2.6,8.108952,-0.5559645,-0.07543879,0.00055322,-0.9153112,-0.7068421,-0.48052573,0.0006040414,$\beta_2$-dominated,0.00012205387000941228,0.00012205387000959137,-0.600322451458892,0.3280714414092441,0.46192414655975134,0.2201379181295485,0.00012205387000941228
dataframe000014,90.0,2.6,8.108952,-0.5559645,-0.43782628,0.00055322,-0.9153112,-1.431617,-0.11813825,0.0006040414,$\beta_2$-dominated,0.00016291447180289212,0.00016291447180323773,-1.198873931588457,-0.5143409238854353,0.6158335458619494,0.2548650931691341,0.00016291447180289212
dataframe000014,90.0,2.6,8.108952,-0.5559645,-0.2343559,0.00055322,-0.9153112,-1.0246763,-0.32160863,0.0006040414,$\beta_2$-dominated,0.00013995802270217264,0.00013995802270257377,-0.8628041155765155,-0.04135008538721207,0.5294177573094114,0.23536676989030095,0.00013995802270217264
dataframe000014,90.0,2.6,8.108952,-0.5559645,-0.07543879,0.00055322,-0.9153112,-0.7068421,-0.48052573,0.0006040414,$\beta_2$-dominated,0.00012205387000941228,0.00012205387000959137,-0.600322451458892,0.3280714414092441,0.46192414655975134,0.2201379181295485,0.00012205387000941228
dataframe000014,90.0,2.6,8.108952,-0.5559645,0.35245234,0.00055322,-0.9153112,0.14894015,-0.90841687,0.0006040414,$\beta_2$-dominated,7.384616764419618e-05,7.384616764434751e-05,0.10642073584784983,1.3227548155242916,0.2801946922589751,0.17913357876513106,7.384616764419618e-05
dataframe000016,70.0,2.8,6.4945483,-0.74644196,0.32839137,-0.00042122958,-0.13074657,-0.089659214,-1.0748334,0.0032113795,$\beta_2$-dominated,-0.000303696240770475,-0.000303696240770167,1.1481526788308078,0.5786709851119042,-0.12649226767814065,1.1889804616264898,-0.000303696240770475
dataframe000016,70.0,2.8,6.4945483,-0.74644196,-0.31943855,-0.00042122958,-0.13074657,-1.385319,-0.4270034,0.0032113795,$\beta_2$-dominated,-0.0002306111566491812,-0.00023061115664897036,0.07813893127339361,-0.9272860394478238,0.14864723790699289,1.2510612381849766,-0.0002306111566491812
dataframe000016,70.0,2.8,6.4945483,-0.74644196,0.12859754,-0.00042122958,-0.13074657,-0.48924688,-0.8750395,0.0032113795,$\beta_2$-dominated,-0.0002811376148463233,-0.00028113761484609856,0.8181553154932389,0.11422663238773749,-0.041637938434138426,1.2081264592840193,-0.0002811376148463233
dataframe000016,70.0,2.8,6.4945483,-0.74644196,0.327887,-0.00042122958,-0.13074657,-0.09066796,-1.0743289,0.0032113795,$\beta_2$-dominated,-0.00030350832652009256,-0.0003035083265198678,1.147319497735319,0.5774983833086477,-0.1262781081273026,1.1890287245065843,-0.00030350832652009256
dataframe000016,70.0,2.8,6.4945483,-0.74644196,0.327887,-0.00042122958,-0.13074657,-0.09066796,-1.0743289,0.0032113795,$\beta_2$-dominated,-0.00030350832652009256,-0.0003035083265198678,1.147319497735319,0.5774983833086477,-0.1262781081273026,1.1890287245065843,-0.00030350832652009256
dataframe000016,60.0,3.2,4.584426,-0.27165946,0.45583045,4.0603492e-05,-0.6027781,0.6400014,-0.72748995,6.7356064e-05,$\beta_2$-dominated,-2.8659081186605278e-05,-2.865908118646052e-05,0.8883498204878629,0.6132026377563077,-1.7394893568694636,0.5780592265663219,-2.8659081186605278e-05
dataframe000016,60.0,3.2,4.584426,-0.27165946,0.13995056,4.0603492e-05,-0.6027781,0.008241653,-0.41161,6.7356064e-05,$\beta_2$-dominated,6.9945888761466085e-06,6.994588876457899e-06,0.3666143612068494,-0.12109743733468102,-1.6053321790766493,0.6083296146304679,6.9945888761466085e-06
dataframe000016,60.0,3.2,4.584426,-0.27165946,0.13995056,4.0603492e-05,-0.6027781,0.008241653,-0.41161,6.7356064e-05,$\beta_2$-dominated,6.9945888761466085e-06,6.994588876457899e-06,0.3666143612068494,-0.12109743733468102,-1.6053321790766493,0.6083296146304679,6.9945888761466085e-06
dataframe000016,60.0,3.2,4.584426,-0.27165946,0.13995056,4.0603492e-05,-0.6027781,0.008241653,-0.41161,6.7356064e-05,$\beta_2$-dominated,6.9945888761466085e-06,6.994588876457899e-06,0.3666143612068494,-0.12109743733468102,-1.6053321790766493,0.6083296146304679,6.9945888761466085e-06
dataframe000016,60.0,3.2,4.584426,-0.27165946,0.45583045,4.0603492e-05,-0.6027781,0.6400014,-0.72748995,6.7356064e-05,$\beta_2$-dominated,-2.8659081186605278e-05,-2.865908118646052e-05,0.8883498204878629,0.6132026377563077,-1.7394893568694636,0.5780592265663219,-2.8659081186605278e-05
